Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),Latitude,Longitude
Doddagollarahatti,"98,783","97,839","61,840","54,233","53,145","38,065",99.00%,63.20%,87.70%,98.00%,"15,069",28.30%,38.50%,"₹61,48,958",9,₹151.89,"3,69,997",,
T Dasarahalli,"1,16,879","1,16,132","81,881","62,233","61,128","37,945",99.40%,70.50%,76.00%,98.20%,"23,152",37.90%,32.50%,"₹44,28,407",6.41,₹115.27,"2,48,636",13.0457517,77.51404300816833
Vidyapeeta ward,"98,218","97,305","72,769","57,004","55,960","37,832",99.10%,74.80%,78.30%,98.20%,"18,111",32.40%,38.50%,"₹44,05,252",6.19,₹112.18,"2,47,727",12.934034700000002,77.56594155582614
Chamundi Nagara,"1,09,038","1,08,468","82,395","56,986","56,063","37,616",99.50%,76.00%,69.20%,98.40%,"18,434",32.90%,34.50%,"₹46,34,638",5.79,₹108.06,"2,58,432",13.02521195,77.59646995353445
Atturu Layout,"1,06,263","1,05,338","71,258","55,686","54,548","37,150",99.10%,67.60%,78.10%,98.00%,"17,385",31.90%,35.00%,"₹62,54,460",9,₹169.54,"3,72,076",13.0977865,77.5677646
J P Park,"1,07,208","1,06,388","77,661","55,905","54,791","37,081",99.20%,73.00%,72.00%,98.00%,"17,699",32.30%,34.60%,"₹49,36,530",6.65,₹119.43,"2,84,992",,
Nagarabhavi,"87,574","86,839","60,510","52,907","51,678","36,747",99.20%,69.70%,87.40%,97.70%,"14,920",28.90%,42.00%,"₹50,50,626",7.73,₹134.74,"2,95,639",12.9664182,77.5130777
Marenahalli,"83,523","82,785","56,507","51,111","49,970","36,141",99.10%,68.30%,90.50%,97.80%,"13,815",27.70%,43.30%,"₹43,40,983",7.04,₹124.10,"2,48,263",12.9687739,77.5306387
Dr. Raj Kumar Ward,"89,477","88,660","61,954","52,508","51,412","35,829",99.10%,69.90%,84.80%,97.90%,"15,561",30.30%,40.00%,"₹45,10,924",7.15,₹126.07,"2,57,641",,
Jaraganahalli,"1,10,924","1,10,009","85,970","59,511","58,207","35,674",99.20%,78.10%,69.20%,97.80%,"22,518",38.70%,32.20%,"₹40,62,345",6.79,₹121.30,"2,25,413",12.8992931,77.57726896
Chickpete,"1,85,488","1,83,645","1,50,079","93,173","92,089","34,980",99.00%,81.70%,62.10%,98.80%,"57,078",62.00%,18.90%,"₹58,08,054",9.79,₹167.33,"3,40,988",12.9701392,77.5775301
Gali Anjenaya Temple ward,"1,04,178","1,03,308","65,657","55,007","54,258","34,405",99.20%,63.60%,83.80%,98.60%,"19,834",36.50%,33.00%,"₹50,59,895",8.23,₹144.08,"2,88,389",,
Vannarapete,"99,365","98,763","79,376","50,576","49,797","33,723",99.40%,80.40%,63.70%,98.50%,"16,070",32.30%,33.90%,"₹40,82,537",6.51,₹117.94,"2,27,962",12.9599932,77.6176375
Kammanahalli,"1,11,511","1,10,898","87,583","55,916","55,260","33,576",99.50%,79.00%,63.80%,98.80%,"21,666",39.20%,30.10%,"₹44,12,131",6.67,₹121.53,"2,48,871",13.0148544,77.6382029
Defence Colony,"1,13,502","1,12,831","80,837","56,497","55,754","33,207",99.40%,71.60%,69.90%,98.70%,"22,522",40.40%,29.30%,"₹38,57,800",6.09,₹111.03,"2,17,101",12.976171,77.6435315
Kushal Nagar,"1,06,911","1,06,401","82,697","52,289","51,701","32,787",99.50%,77.70%,63.20%,98.90%,"18,908",36.60%,30.70%,"₹40,58,575",6.48,₹118.28,"2,27,574",13.0187848,77.6151144
Rajaji Nagar,"78,766","78,002","52,276","46,245","45,396","32,404",99.00%,67.00%,88.50%,98.20%,"12,979",28.60%,41.10%,"₹41,07,176",6.26,₹112.33,"2,35,670",12.9945793,77.55039666654265
Bommanahalli,"1,52,618","1,51,217","1,22,893","55,029","54,175","32,011",99.10%,81.30%,44.80%,98.40%,"22,152",40.90%,21.00%,"₹44,56,835",7.35,₹132.21,"2,49,748",12.9089453,77.6239038
Vijinapura,"1,25,088","1,24,310","95,925","52,300","51,728","31,626",99.40%,77.20%,54.50%,98.90%,"20,092",38.80%,25.30%,"₹45,21,821",7.46,₹134.92,"2,55,491",13.036240450000001,77.57101265390685
Srinivasa Nagar,"74,452","73,908","51,573","43,303","42,504","31,259",99.30%,69.80%,84.00%,98.20%,"11,234",26.40%,42.00%,"₹36,41,236",6.62,₹117.91,"2,07,210",12.9877574,77.5378544
Agaram,"1,40,342","1,39,281","1,13,197","52,499","51,730","31,096",99.20%,81.30%,46.40%,98.50%,"20,624",39.90%,22.20%,"₹41,44,647",7.01,₹127.39,"2,29,317",12.9417501,77.64130554414257
Gayithri Nagar,"77,922","77,120","52,814","44,397","43,591","31,052",99.00%,68.50%,84.10%,98.20%,"12,526",28.70%,39.90%,"₹37,14,235",6.33,₹114.27,"2,11,782",12.9976458,77.56232387
Vijayanagara Krishnadevaraya,"79,830","79,216","51,953","45,187","44,220","30,360",99.20%,65.60%,87.00%,97.90%,"13,851",31.30%,38.00%,"₹40,21,673",7.41,₹127.94,"2,35,209",,
Kammagondanahalli,"88,813","88,177","63,366","44,948","44,183","30,124",99.30%,71.90%,70.90%,98.30%,"14,051",31.80%,33.90%,"₹46,42,293",8.44,₹144.22,"2,74,443",13.07399225,77.51898923698187
Veerabhadranagar,"83,820","83,214","58,885","46,701","45,797","29,394",99.30%,70.80%,79.30%,98.10%,"16,390",35.80%,35.10%,"₹33,13,096",6.11,₹109.13,"1,86,855",,
Bharathi Nagar,"1,13,705","1,13,062","92,076","52,147","51,610","28,677",99.40%,81.40%,56.60%,99.00%,"22,911",44.40%,25.20%,"₹35,77,300",6.35,₹116.49,"1,97,970",12.98915825,77.61173545486893
Yelachenahalli,"92,064","91,284","68,402","48,782","47,953","28,465",99.20%,74.90%,71.30%,98.30%,"19,475",40.60%,30.90%,"₹35,43,903",6.32,₹115.22,"1,99,914",12.897971,77.5700846
Deen Dayalu Ward,"86,800","86,185","60,896","45,429","44,423","28,289",99.30%,70.70%,74.60%,97.80%,"16,127",36.30%,32.60%,"₹34,87,579",7.42,₹131.25,"1,98,272",,
Kadugondanahalli,"94,784","94,377","71,903","46,635","45,936","28,083",99.60%,76.20%,64.90%,98.50%,"17,837",38.80%,29.60%,"₹34,74,646",6.17,₹113.46,"1,93,981",13.0207029,77.6215464
Sagayarapuram,"98,658","98,158","79,329","46,502","46,108","28,010",99.50%,80.80%,58.60%,99.20%,"18,086",39.20%,28.40%,"₹32,70,499",5.85,₹108.30,"1,78,616",13.00528525,77.61636237
Chanakya,"96,377","95,232","57,457","46,149","44,733","27,699",98.80%,60.30%,80.30%,96.90%,"17,027",38.10%,28.70%,"₹38,52,559",7.52,₹136.38,"2,21,877",13.2246581,77.75702488939133
Shivanagara,"64,174","63,577","43,741","38,676","37,977","27,691",99.10%,68.80%,88.40%,98.20%,"10,269",27.00%,43.10%,"₹33,83,414",6.63,₹117.86,"1,93,984",12.9879221,77.5467906
Mahalakshimpuram,"65,516","64,850","44,936","39,445","38,745","27,477",99.00%,69.30%,87.80%,98.20%,"11,250",29.00%,41.90%,"₹33,70,934",6.53,₹116.34,"1,93,461",,
Basaveshwara Nagar,"58,527","57,844","40,053","36,905","36,131","27,146",98.80%,69.20%,92.10%,97.90%,"8,976",24.80%,46.40%,"₹33,50,801",7.74,₹132.38,"1,94,172",12.99118045,77.54489175084052
Vidyamanyanagar,"75,939","75,319","48,394","40,083","38,827","26,581",99.20%,64.30%,82.80%,96.90%,"12,238",31.50%,35.00%,"₹42,53,108",8.98,₹151.45,"2,55,355",13.0071319,77.4896353
Peenya,"91,034","90,256","62,590","46,109","45,149","26,421",99.20%,69.30%,73.70%,97.90%,"18,711",41.40%,29.00%,"₹35,43,467",7.85,₹138.30,"2,06,158",13.0330515,77.5332233
Chowdeswari Ward,"90,118","88,903","60,275","42,773","41,720","26,194",98.70%,67.80%,71.00%,97.50%,"15,518",37.20%,29.10%,"₹53,13,533",11.42,₹193.13,"3,22,290",13.105721599999999,77.58300836953514
Govindaraja Nagar,"56,479","55,909","37,517","34,726","33,936","25,734",99.00%,67.10%,92.60%,97.70%,"8,195",24.10%,45.60%,"₹33,03,480",6.92,₹122.15,"1,92,036",12.98033475,77.53791538448837
Maruthi Mandir ward,"59,573","59,060","39,759","36,081","35,073","25,648",99.10%,67.30%,90.80%,97.20%,"9,417",26.90%,43.00%,"₹33,53,990",7.65,₹133.05,"1,94,119",12.9703764,77.5263573
Kamakshipalya,"57,410","56,844","38,391","35,243","34,658","25,365",99.00%,67.50%,91.80%,98.30%,"9,284",26.80%,44.20%,"₹32,63,544",6.98,₹124.77,"1,89,598",12.9823617,77.5226376
Avalahalli,"67,045","66,451","46,911","38,773","37,890","24,789",99.10%,70.60%,82.70%,97.70%,"13,090",34.50%,37.00%,"₹33,15,008",7.5,₹132.55,"1,89,999",12.9475443,77.54521185586837
Banashankari Temple ward,"85,840","85,171","60,417","42,008","41,326","24,423",99.20%,70.90%,69.50%,98.40%,"16,888",40.90%,28.40%,"₹25,98,862",5.61,₹103.27,"1,41,898",12.9117374,77.57033282631957
Kadugodi,"1,14,762","1,13,298","84,957","40,959","40,210","24,200",98.70%,75.00%,48.20%,98.20%,"16,001",39.80%,21.10%,"₹45,37,344",8.91,₹155.22,"2,67,519",12.9957428,77.7579489
Bagalakunte,"80,540","80,086","53,963","37,043","36,470","23,104",99.40%,67.40%,68.70%,98.50%,"13,344",36.60%,28.70%,"₹30,01,387",6.12,₹112.39,"1,73,032",13.053630550000001,77.50196713347404
Hosahalli,"55,891","55,379","38,890","33,599","32,751","22,777",99.10%,70.20%,86.40%,97.50%,"9,970",30.40%,40.80%,"₹28,91,049",6.7,₹118.29,"1,67,216",12.9690686,77.5427797
Shankar Matt,"53,607","53,055","36,312","32,452","31,755","22,594",99.00%,68.40%,89.40%,97.90%,"9,155",28.80%,42.10%,"₹27,47,829",6.5,₹114.19,"1,58,582",12.997768149999999,77.53334700522072
Nelagadderanahalli,"70,269","69,751","52,684","33,633","33,005","20,820",99.30%,75.50%,63.80%,98.10%,"12,173",36.90%,29.60%,"₹27,89,659",7.24,₹125.97,"1,62,660",,
Dodda Bidarakallu,"75,747","75,035","49,346","34,318","33,515","20,643",99.10%,65.80%,69.50%,97.70%,"12,864",38.40%,27.30%,"₹33,25,375",8.39,₹144.62,"1,98,915",13.02682265,77.48738795
Vijayanagar,"54,745","54,304","37,527","30,855","30,132","20,474",99.20%,69.10%,82.20%,97.70%,"9,645",32.00%,37.40%,"₹22,56,693",5.67,₹102.67,"1,26,023",12.9709537,77.5373851
Prakash Nagar,"50,760","50,320","34,779","29,499","28,934","19,727",99.10%,69.10%,84.80%,98.10%,"9,197",31.80%,38.90%,"₹23,17,255",6.67,₹117.97,"1,31,028",12.9948984,77.5635409
Shakthi Ganapathi Nagar,"45,353","44,976","30,181","27,389","26,831","19,527",99.20%,67.10%,90.80%,98.00%,"7,288",27.20%,43.10%,"₹24,48,766",6.77,₹119.28,"1,42,028",12.993783,77.5360361
Chandra Layout,"50,247","49,912","34,372","28,748","28,165","19,187",99.30%,68.90%,83.60%,98.00%,"8,972",31.90%,38.20%,"₹24,56,871",7.12,₹124.05,"1,41,833",12.965293,77.5181551
Herohalli,"47,952","47,600","29,755","26,798","26,192","18,276",99.30%,62.50%,90.10%,97.70%,"7,916",30.20%,38.10%,"₹27,24,334",9.7,₹162.35,"1,62,105",12.9841581,77.49061983577653
Agrahara Dasarahalli,"43,027","42,536","27,331","25,002","24,554","18,053",98.90%,64.30%,91.50%,98.20%,"6,496",26.50%,42.00%,"₹24,01,294",7.51,₹127.94,"1,39,769",12.9790631,77.5406823
Puneet Rajkumar,"45,863","45,416","30,747","26,816","26,265","18,033",99.00%,67.70%,87.20%,97.90%,"8,224",31.30%,39.30%,"₹21,48,483",6.3,₹112.20,"1,23,322",13.015033599999999,77.53371976956359
Nandini Layout,"44,061","43,724","30,100","26,165","25,692","17,747",99.20%,68.80%,86.90%,98.20%,"7,935",30.90%,40.30%,"₹22,03,322",7.98,₹136.49,"1,27,506",13.0104064,77.5378032
Binnipete,"59,606","59,100","43,772","30,868","30,446","17,157",99.20%,74.10%,70.50%,98.60%,"13,280",43.60%,28.80%,"₹21,73,390",6.03,₹109.08,"1,24,006",12.972283399999998,77.55950501935607
Nagavara,"68,797","68,313","48,922","29,950","29,541","17,006",99.30%,71.60%,61.20%,98.60%,"12,528",42.40%,24.70%,"₹21,28,376",6.27,₹115.24,"1,18,358",13.0374647,77.623602
Rajagopal Nagar,"49,249","48,787","35,227","25,452","24,943","16,453",99.10%,72.20%,72.30%,98.00%,"8,483",34.00%,33.40%,"₹21,43,115",6.57,₹116.78,"1,24,679",13.0123112,77.51386110257104
Ranadheera Kanteerava,"46,845","46,412","30,623","25,551","24,906","16,164",99.10%,66.00%,83.40%,97.50%,"8,733",35.10%,34.50%,"₹19,33,328",6.37,₹112.10,"1,11,080",,
Hongasandra,"66,045","65,467","52,043","27,198","26,768","15,798",99.10%,79.50%,52.30%,98.40%,"10,964",41.00%,23.90%,"₹23,11,899",7.83,₹141.91,"1,31,471",12.8974892,77.6250869
Cottonpete,"67,650","66,994","50,956","32,826","32,405","15,118",99.00%,76.10%,64.40%,98.70%,"17,281",53.30%,22.40%,"₹20,35,209",6.58,₹118.78,"1,17,399",12.9656327,77.5658857
Dayananda Nagar,"35,860","35,491","25,987","20,503","20,224","13,486",99.00%,73.20%,78.90%,98.60%,"6,736",33.30%,37.60%,"₹14,87,424",5.72,₹103.47,"83,810",12.991757849999999,77.56429568
Mudalapalya,"34,182","33,913","21,506","19,335","18,953","12,984",99.20%,63.40%,89.90%,98.00%,"5,964",31.50%,38.00%,"₹16,22,413",5.85,₹105.07,"93,384",12.972678049999999,77.52162754647887
Nayandahalli,"41,688","41,360","27,115","20,901","20,511","12,926",99.20%,65.60%,77.10%,98.10%,"7,576",36.90%,31.00%,"₹18,26,005",9.05,₹160.09,"1,05,622",12.9413253,77.5212118
Venkateshpura,"53,359","53,147","41,072","23,750","23,529","12,897",99.60%,77.30%,57.80%,99.10%,"10,623",45.10%,24.20%,"₹14,53,487",6.19,₹112.54,"79,501",,
Azad Nagar,"39,763","39,483","28,953","21,302","20,954","12,675",99.30%,73.30%,73.60%,98.40%,"8,270",39.50%,31.90%,"₹15,32,784",7.01,₹125.33,"87,562",12.9543158,77.55375374278954
Jai Maruthinagara,"33,022","32,752","22,329","19,042","18,500","12,151",99.20%,68.20%,85.30%,97.20%,"6,338",34.30%,36.80%,"₹13,97,378",5.52,₹100.04,"79,844",,
Sunkadakatte,"34,069","33,799","21,816","18,322","17,930","11,471",99.20%,64.50%,84.00%,97.90%,"6,451",36.00%,33.70%,"₹14,85,675",7,₹138.03,"85,935",12.995024,77.5065272
Mallasandra,"35,455","35,213","25,485","17,802","17,359","11,329",99.30%,72.40%,69.80%,97.50%,"6,028",34.70%,31.90%,"₹13,98,636",6.89,₹121.69,"80,245",13.0569525,77.52094665980465
Veera Sindhura Lakshamana,"33,045","32,761","21,258","17,405","17,019","11,116",99.10%,64.90%,81.90%,97.80%,"5,900",34.70%,33.60%,"₹13,59,938",6.11,₹109.98,"78,414",,
Kaveripura,"28,034","27,744","18,644","15,486","15,239","9,824",99.00%,67.20%,83.10%,98.40%,"5,412",35.50%,35.00%,"₹13,13,810",7.12,₹123.67,"76,749",12.9816539,77.52633631772794
Hegganahalli,"29,838","29,557","19,390","15,783","15,383","9,628",99.10%,65.60%,81.40%,97.50%,"5,750",37.40%,32.30%,"₹12,61,951",8.58,₹149.67,"73,342",13.0035647,77.5127828
Vrisabhavathi Nagar,"27,199","26,940","17,322","14,909","14,631","9,475",99.10%,64.30%,86.10%,98.10%,"5,149",35.20%,34.80%,"₹11,45,896",6.27,₹110.72,"65,907",12.988519,77.52552179234208
Rajeshwari Nagar,"28,779","28,581","18,659","14,870","14,391","9,020",99.30%,65.30%,79.70%,96.80%,"5,365",37.30%,31.30%,"₹10,82,889",6.25,₹112,"62,331",12.932582,77.5162034
Muneshwara Nagar,"34,615","34,416","25,294","15,178","15,016","8,025",99.40%,73.50%,60.00%,98.90%,"6,985",46.50%,23.20%,"₹9,67,405",6.62,₹122.02,"53,837",13.0155777,77.61090664984235
Jagajivanaram Nagar,"26,740","26,526","19,388","13,672","13,471","6,957",99.20%,73.10%,70.50%,98.50%,"6,512",48.30%,26.00%,"₹9,32,470",9.07,₹155.48,"53,891",,
Lakshmi Devi Nagar,"19,623","19,467","12,660","10,597","10,356","6,580",99.20%,65.00%,83.70%,97.70%,"3,774",36.40%,33.50%,"₹7,84,021",7.66,₹133.48,"44,959",13.0161192,77.527197
S K Garden,"28,317","28,182","21,614","11,877","11,800","6,492",99.50%,76.70%,54.90%,99.40%,"5,305",45.00%,22.90%,"₹8,17,438",7.25,₹132.63,"45,511",13.01239565,77.59984175420259
Chalavadipalya,"23,758","23,618","17,271","11,491","11,350","6,328",99.40%,73.10%,66.50%,98.80%,"5,013",44.20%,26.60%,"₹8,14,489",6.59,₹121.66,"46,499",12.9643692,77.56304464788067
Padarayanapura,"20,946","20,772","14,648","10,189","9,934","5,098",99.20%,70.50%,69.60%,97.50%,"4,830",48.60%,24.30%,"₹7,11,850",8.93,₹157.83,"40,182",12.96366575,77.54756740743159
Bapuji Nagar,"18,887","18,768","12,466","9,740","9,629","5,074",99.40%,66.40%,78.10%,98.90%,"4,552",47.30%,26.90%,"₹6,34,454",6.99,₹128.51,"36,059",12.9556699,77.5402492
Kempapura Agrahara,"16,628","16,463","11,059","8,049","7,934","4,452",99.00%,67.20%,72.80%,98.60%,"3,479",43.90%,26.80%,"₹5,20,021",6.26,₹112.07,"29,348",12.9706228,77.5553763
Devaraj Urs Nagar,"17,831","17,746","12,387","8,865","8,724","4,040",99.50%,69.80%,71.60%,98.40%,"4,683",53.70%,22.70%,"₹5,07,415",5.45,₹97.72,"28,547",12.960608149999999,77.55159898694129
Devara Jeevanahalli,"9,611","9,548","7,245","3,770","3,730","1,407",99.30%,75.90%,52.00%,98.90%,"2,323",62.30%,14.60%,"₹1,90,579",5.9,₹114,"10,687",13.0154727,77.60572839136377
Bangalore Total,"6,73,34,064","6,64,43,051","5,29,16,372","3,00,17,755","2,94,53,513","1,86,28,581",98.70%,79.60%,56.70%,98.10%,"1,08,17,296",36.70%,27.70%,"₹2,67,99,10,491",8.16,₹143.86,"15,20,07,679",12.9818541,77.7215829